Wassertemperatur,pH-Wert,elektrische Leitfähigkeit bei 25 °C,Natrium,Kalium,Magnesium,Calcium,Kieselsäure als Si,Bor,Nitrat,Nitrit,Ammonium,Gesamtphosphor als P,Sauerstoffgehalt,Sulfat,DOC,Chlorid
12.2,6.1,232,45.3,5.7,16,86,11.1,0.12,0.5,0.02,0.35,0.04,5,94.4,0.4,37
12.6,7.1,75,45.8,4.3,15.6,95,3.4,0.07,17.2,0.02,0.02,0.02,8.2,70.4,1,110
11.4,7,80,41.84,4.9,14,89.1,3.1,0.07,18.7,0.03,0.02,0.02,5.1,63.7,1.2,127
15.7,7.1,81,41,4.39,14,86,2.8,0.09,16.2,0.02,0.01,0.03,6.6,73.7,1.1,113
12.2,7.1,79,43.7,4.51,14,86,3.4,0.07,38.9,0.02,0.03,0.02,4.5,61.6,1.3,91
12.4,7.3,70,45.7,4.74,15.2,83.6,2.8,0.05,21.2,0.02,0.01,0.03,7,70.1,1.3,88
14.9,7.4,70,44.1,4.66,16.3,87.9,2.1,0.07,43.2,0.01,0.01,0.01,6.4,64.5,1,98
12.3,6.9,74,42,3.8,13,91.6,3.5,0.08,16.1,0.02,0.01,0.03,8.2,77.4,1.2,103
11,7.4,76,43.2,3.94,14.3,78,2.9,0.05,16.8,0.01,0.03,0.02,6,86.6,0.7,165
12,7.2,96,88.7,4.87,18,83.8,2.7,0.08,12.2,0.01,0.03,0.02,7.8,74.6,1.2,114
10.7,7.4,81,50.7,4.48,14.8,104,3.1,0.05,20.7,0.03,0.02,0.03,5.1,70.6,1.5,173
7.8,7.3,95,46.4,4.93,14.8,87.5,2.8,0.04,19.6,0.02,0.02,0.03,7.5,67.6,1.6,188
14.3,7.3,102,44,4.62,13.8,93,2.6,0.08,13.1,0.01,0.02,0.03,6,74.1,1.1,135
11.8,7.5,86,54.5,4.73,13.4,84.7,3.2,0.06,14.5,0.01,0.03,0.04,8.1,78.8,0.8,121
13.9,7.3,81,49.2,5.8,16.2,83.6,2.8,0.05,16.2,0.01,0.02,0.02,7.5,64.3,1,99
10.8,7.4,72,50.76,7.5,14.3,86.1,3.4,0.02,24.5,0.01,0.03,0.02,5,67.6,1.4,120
11.5,7.4,83,47,6.4,16,82.13,2.8,0.07,12.9,0.01,0.02,0.02,6.7,76.1,0.9,102
10.8,7.3,73,53.5,6.4,17.8,92,3.1,0.02,17.9,0.01,0.02,0.02,6.7,70.7,1,150
10.7,7.2,89,50,6.14,16,96.6,2.7,0.04,23.9,0.01,0.02,0.02,3.1,70.6,1,124
12.4,7.2,85,51.5,6.27,17.4,86.1,3,0.03,19.7,0.01,0.03,0.01,6.2,77.4,1,136
10.7,7.1,83,52,6.3,17,90.6,3.3,0.02,18.4,0.02,0.03,0.02,8.3,73.5,1.2,122
13.2,7.2,81,52.6,6.36,17.7,88,2.9,0.06,30.5,0.01,0.02,0.01,6.8,65.5,0.8,137
14.1,7.2,91,53.1,7.17,17,96.7,3.3,0.08,9.9,0.01,0.02,0.01,6.7,84.4,1.4,106
14,7.3,78,45.6,4.6,14.6,101,3.2,0.02,19.1,0.01,0.02,0.01,5.3,71.9,1.1,155
11.2,7.1,89,47,6.15,15,83.9,3.1,0.05,10.8,0.01,0.03,0.01,4.2,66.8,1.6,105
13.1,7.2,74,44,5.11,15,79,3.1,0.11,20.4,0.02,0.02,0.01,2.6,78.9,1.6,137
11.4,7,81,46.4,4.95,15.1,93,3.2,0.11,21.8,0.02,0.02,0.01,5.2,80.9,1.2,131
14.2,7.2,76,45.3,5.03,14.5,88.9,2.7,0.11,28,0.02,0.02,0.01,4.6,79.6,1.2,113
15.8,7.2,79,45.3,5.21,15.9,83.4,3.5,0.09,27.2,0.02,0.06,0.02,4.2,79.9,1.1,113
15.4,7.2,72,46,5.1,16,89.1,3.5,0.1,19.3,0.02,0.09,0.02,6,72.9,1.3,104
13.7,7,81,46.8,5.17,14.9,90,3.5,0.1,25.3,0.02,0.02,0.02,3.6,75.6,1.2,101
10.9,7.1,82,46.3,5.25,14.9,89.1,3.1,0.09,22.1,0.01,0.01,0.02,5.6,81.3,1.2,106
10.9,7.6,74,52.3,5.53,16.6,89.6,2.5,0.08,19.8,0.01,0.01,0.02,6,85.4,1.4,108
11.5,7.2,74,49.6,5.27,13.8,101,2.7,0.1,19.8,0.01,0.01,0.01,5.7,83.3,1.1,111
11.4,7.2,103,50.3,5.54,14.9,86.6,5,0.1,19,0.03,0.01,0.01,3.6,82.9,1.2,111
12.9,6.9,86,56.8,4.86,14.3,91.8,5.1,0.08,19.1,0.01,0.01,0.03,5.1,82.2,1,145
12.5,7.2,75,49.8,5.15,13.7,87.5,5,0.11,20.2,0.01,0.01,0.01,0,78.6,1.1,137
13.4,7.1,73,288,7.8,100,82,3.5,0.08,21.1,0.01,0.01,0.01,3.6,83.2,0.9,147
12.3,7,78,41,5,13,179,5.2,0.06,18.7,0.01,0.02,0.02,9.3,78.5,1,132
12,7.1,91,46,5.6,13,79,5.3,0.1,19.1,0.01,0.02,0.01,4,79.6,0.7,137
14,6.9,92,46,5.7,13,78,5.2,0.06,17.1,0.01,0.02,0.01,8,76.8,0.9,118
13.5,7,79,42,5.1,15,84,4.9,0.07,18.8,0.01,0.02,0.01,6.4,77.1,1.2,125
13,7.2,81,42,4.7,15,91,5.1,0.06,19.8,0.01,0.05,0.01,7.2,79.2,0.7,125
13.2,6.8,75,43,5.2,14,92,5.1,0.02,18.9,0.01,0.02,0.03,2.1,77.5,0.8,111
12.6,7.2,80,49,6.4,15,92,4.7,0.07,18.1,0.02,0.02,0.03,8,76.4,0.9,110
12.9,6.8,88,65,5,16,92,5.1,0.06,20.2,0.01,0.02,0.02,4.9,81.1,0.7,133
13.4,7,86,50,4.4,15,97,4.7,0.03,14.6,0.02,0.02,0.03,8,82.1,0.8,116
12.9,7,88,60,4.8,19,86,4.9,0.76,17.1,0.01,0.02,0.03,8.4,81.4,0.8,129
12.4,6.9,85,72,4.7,18,108,5.2,0.1,19.8,0.02,0.02,0.03,2.4,73.3,0.7,132
13.5,6.8,94,56,3.7,14,108,4.7,0.09,17.4,0.01,0.02,0.03,6.1,76.8,0.7,122
13.2,6.9,88,46,4.7,14,94,5.4,0.09,20.5,0.02,0.02,0.03,6.6,70,1.6,111
12.5,7,94,42,5.1,14,92,5,0.08,19.2,0.03,0.02,0.03,9.7,66.1,0.7,97
12.5,7,92,49,4.8,15,95,4.9,0.07,16.6,0.02,0.02,0.01,3.8,70.6,0.8,105
13,7.2,87,44,4.3,13,81,4.7,0.1,17.9,0.01,0.03,0.01,9.3,68,1,102
13.1,6.9,85,60,4.7,15,96,4.9,0.09,15.8,0.02,0.02,0.01,6.3,70.9,0.5,99
12.1,7,90,52,4.7,16,103,4.7,0.07,17.5,0.03,0.06,0.02,7.3,74.1,1.1,102
14.2,6.9,88,49,4.6,14,88,4.7,0.07,18.1,0.01,0.03,0.01,7.6,89.6,0.8,118
12,7,82,50,4.2,16,94,4.7,0.08,18,0.02,0.02,0.01,8.2,81.1,0.5,128
13.1,7,82,47,4.6,15,95,5.2,0.09,20.1,0.02,0.02,0.01,1.6,75.8,0.9,154
12.6,6.9,91,49,5.4,17,98,5,0.07,19.7,0.02,0.01,0.01,7.9,81.1,0.9,154
13.7,6.8,82,56,5,16,92,4.8,0.08,20.7,0.01,0.01,0.01,6.4,74.8,1.1,172
12.6,6.8,88,44,4.4,14,84,3.9,0.07,20.9,0.02,0.01,0.01,7.9,77.6,1.4,136
13.2,6.8,79,65,8,14,81,5.1,0.07,14.6,0.01,0.01,0.01,7.3,74.3,1,118
12.9,7.1,86,57,6.4,15,89,4.2,0.05,18.7,0.01,0.01,0.01,4.8,75.2,0.7,124
13.3,7,86,59,7,16,92,4.9,0.08,18.2,0.01,0.01,0.01,6.7,71.6,0.7,118
13.1,7,86,60,7.2,17,98,3.5,0.03,15.7,0.01,0.01,0.01,6.4,76.4,1.1,129
13.1,6.9,77,55,7.1,17,91,3.5,0.05,17.7,0.01,0.01,0.01,7.3,72,1,122
12.8,7.1,86,54,7,16,95,3.3,0.04,16,0.01,0.02,,4.5,82.4,0.7,117
13.8,7,80,58,7.7,17,96,2.6,0.02,18.2,0.01,0.02,,6.6,74.3,0.8,115
13,7,85,57,7.4,16,93,3.6,0.06,16,0.01,0.02,,6.2,71.9,1,110
11.8,7.1,81,56,7.3,17,98,3.6,0.08,16.3,0.01,0.02,,6.5,77.1,0.8,130
11.6,7.2,85,56,7.1,16,97,3.6,0.02,13.5,0.01,0.02,,6,82.2,1,119
13.5,7.2,83,57,7.3,17,104,3.6,0.06,15.9,0.01,0.02,,6,72.9,2,126
12.9,7.2,70,58,5.3,17,102,3.4,0.06,16.9,0.01,0.09,,6.8,82.1,1.2,119
12.2,7.4,73,60,7.4,17,100,3.6,0.02,20.9,0.02,0.02,,8.3,81.4,0.8,136
12.4,7.3,73,56,7,17,96,3.5,0.05,20.9,0.01,0.02,,7.1,74.2,0.8,107
12.2,7,79,57,7.2,17,97,3.4,0.05,16.1,0.02,0.02,,5.4,67.8,1.2,117
11.7,7.4,73,54,6.9,15,85,3.5,0.07,10.1,0.01,0.02,,6.4,65.3,1.1,87
12.8,7.1,81,61,7.5,18,100,4.1,0.05,21.2,0.01,0.02,,5.1,61.2,0.6,124
12.9,7.2,86,55,6.7,16,87,3.5,0.04,20.4,0.01,0.02,,5.6,65,0.8,119
12.7,7.2,86,52,6.5,17,93,3.5,0.08,16.5,0.01,0.02,,6,74.4,0.8,119
12,7.3,92,46,5.8,15,82,3.5,0.07,19.6,0.01,0.02,,7.1,66.4,1.4,104
12.6,7.2,95,59,7.2,15,108,3.3,0.08,22.6,0.01,0.02,,5.6,67.8,0.8,215
11.7,7.1,93,52,6.4,16,87,3.6,0.08,8,0.01,0.02,,6.1,58.1,1.1,110
12.2,7.3,87,52,6.6,18,96,3.5,0.11,27.6,0.01,0.02,,8.2,63,1.1,119
12.6,7.1,74,50,7.5,14,86,3.4,0.08,21.5,0.01,0.02,,2.7,83,0.6,113
12.4,7.1,83.5,50,6.3,14,89,3.2,0.02,20.4,0.01,0.02,,5.7,72,0.6,129
12.6,7.2,78,48,6,14,88,3.4,0.08,17.1,0.01,0.12,,5,64,1.1,110
12.4,7.1,85,50,6.5,15,92,3.4,0.08,20.8,0.01,0.02,,6.5,59,0.6,118
10.6,7.1,83,44,5.9,14,86,3.4,0.07,17,0.02,0.02,,5.3,76.4,0.7,124
12.7,7.2,82,50,7.2,15,93,3.4,0.08,19.2,0.01,0.02,,5.3,77.4,0.9,119
11.1,7.2,81,47,5.9,14,88,3.5,0.07,15.3,0.01,0.02,,3.1,75.8,0.7,106
12.5,7.2,79,46.5,5.3,15,89,3.6,0.1,25.3,0.01,0.02,,4.9,77,0.8,115
12.2,7,86,55,6.7,15,94,3.3,0.06,14.7,0.04,0.02,,4,73.7,0.9,109
13.5,6.9,82,53,6.3,15,93,5,0.02,25.8,0.01,0.02,,5.8,78,1.6,116
12.3,7,83,61,6.7,17,106,3.6,0.06,32,0.01,0.03,,6.8,77.9,1.4,109
13,7.1,76,59,6.4,16,105,3.2,0.06,15.2,0.01,0.02,,5.9,79,1,114
12.9,7.2,81,62,4.6,17,104,3.2,0.06,15.6,0.01,0.02,,3.8,78,1.2,119
12.9,6.8,85,57,5.9,15,92,,0.07,15.7,0.05,0.02,,6.7,70.6,1.3,130
12.9,7.1,75,51,5.7,14,87,,0.04,12.8,0.02,0.05,,5.2,68.4,1.3,100
13.6,7.3,82,50,6.2,15,94,,0.11,22.3,0.01,0.02,,5,73.3,1.1,104
13.2,7.1,80,45,5.5,14,84,,0.08,15.7,0.03,0.02,,5.6,77.1,0.7,111
12.8,7.2,78,50,6,16,95,,0.08,14.2,0.01,0.05,,3.5,76.5,1,109
12.5,7.2,79,51,6,16,100,,0.14,16.6,0.01,0.02,,10.2,68,0.9,120
12.4,7.1,76,47,5.2,14,87,,0.12,14.1,0.01,0.02,,5.3,78.4,0.7,116
11.9,7,86,49,5.3,16,93,,0.05,17.3,0.02,0.02,,4.6,70,0.8,143
13.2,7,73,42,4.6,13,80,,0.07,16.5,0.01,0.02,,4.6,77,0.8,115
12.4,7.1,80,49,5.4,16,97,,,16.5,0.01,0.02,,5.2,77,0.7,119
12.4,7.3,76,50,5.4,15,90,,,14.2,0.01,,,,70,0.76,110
